Date (GMT),Open,High,Low,Last,Volume,Volume,BBandUp,BBandMid,BBandLow
11/1/2020 14:30,13793.75,13853.91,13772.47,13778,1909.71,1909.71,,,
11/1/2020 15:00,13778,13824.54,13766.73,13795.09,776.2722,776.2722,,,
11/1/2020 15:30,13795.09,13860,13789.63,13841.34,986.9298,986.9298,,,
11/1/2020 16:00,13841.33,13845.69,13800,13800,630.2138,630.2138,,,
11/1/2020 16:30,13800,13827.65,13761.87,13772.05,940.9168,940.9168,,,
11/1/2020 17:00,13771.95,13809.02,13761.92,13799.99,493.2689,493.2689,,,
11/1/2020 17:30,13799.99,13810,13768,13781.97,462.5739,462.5739,,,
11/1/2020 18:00,13783.68,13833.26,13783.67,13810.89,506.2753,506.2753,,,
11/1/2020 18:30,13810.7,13830.62,13785.45,13800.26,377.8149,377.8149,,,
11/1/2020 19:00,13800.26,13821.57,13787.65,13793.45,447.5562,447.5562,,,
11/1/2020 19:30,13793.37,13825,13789.62,13823.48,425.8555,425.8555,,,
11/1/2020 20:00,13823.48,13828.16,13780.02,13790.39,470.5585,470.5585,,,
11/1/2020 20:30,13790.39,13842,13784.81,13830.58,630.3079,630.3079,,,
11/1/2020 21:00,13830.57,13841.93,13806.82,13817.46,497.3646,497.3646,,,
11/1/2020 21:30,13817.46,13864,13812.99,13838.18,921.1504,921.1504,,,
11/1/2020 22:00,13838.17,13838.17,13781,13811.93,550.7419,550.7419,,,
11/1/2020 22:30,13811.94,13821.87,13759.7,13782.62,674.6975,674.6975,,,
11/1/2020 23:00,13782.62,13789.14,13639.55,13698.47,1669.9149,1669.9149,,,
11/1/2020 23:30,13698.49,13726.82,13639.55,13718,1022.0004,1022.0004,,,
11/2/2020 0:00,13718,13763,13713.55,13761.49,807.8897,807.8897,13862.41717,13792.282,13722.14683
11/2/2020 0:30,13761.49,13822.89,13761.49,13805.72,1461.4401,1461.4401,13863.60911,13793.56181,13723.51451
11/2/2020 1:00,13805.73,13830,13792.24,13801.38,1047.5639,1047.5639,13864.43552,13794.3064,13724.17728
